,leaf06.1,leaf06.2,leaf06.3,leaf06.4,leaf06.5,leaf06.6,leaf06.7
105,0.582,1.396,2.661,4.74,8.63,10.75,13.89
106,0.481,0.884,2.069,2.92,6.73,8.7375,12.98
107,0.446,0.841,1.833,4.2,6.76,12.275,10.51
108,0.373,0.702,1.529,3.36,4.98,4.6875,2.04
109,0.76,1.348,2.902,6.05,8.65,9.7,9.55
110,0.517,1.134,2.014,6.45,9.2,6.5625,5.64
111,0.37,0.832,1.844,3.73,7.19,7.2,7.41
112,0.557,1.165,2.9,5.37,8.82,7.0875,7.34
113,0.534,1.12,2.104,4.35,5.88,4.775,2.66
114,0.669,1.234,3.06,4.23,7.51,9.4625,9.95
115,0.361,1.037,1.738,5.28,3.84,9.825,12.66
116,0.296,0.793,1.695,3.45,3.89,4.3125,NA
117,0.433,0.844,2.128,3.854,5.3,4.475,4.4
118,0.394,0.909,1.925,3.24,4.8,4.8625,5.02
119,0.447,0.925,1.878,3.26,6.09,7.0875,8.99
120,0.443,1.026,2.84,4.3,4.97,3.5125,NA
121,0.473,1.155,2.713,4.73,8.32,10.9125,14.11
122,0.425,0.909,1.747,3.07,6.65,10.0625,9.99
123,0.593,1.379,2.517,4.52,8.23,7.775,13.23
124,0.397,0.887,1.557,2.99,4.89,4.875,5.38
125,0.375,0.997,1.885,3.35,5.6,7.1,5.67
126,0.469,0.967,2.163,4.87,6.35,7.175,3.12
127,0.723,1.455,2.92,6.81,9.8,13.225,11.51
128,0.536,1.392,3.595,6.14,7.87,9.1375,12.81
129,0.417,0.864,2.199,3.19,3.75,1.8375,NA
130,0.515,0.791,2.192,3.89,5.88,6.6625,8.3
131,0.418,1.006,1.853,4.21,6.89,9.875,6.95
132,0.511,1.175,2.148,4.01,5.29,4.85,4.19
133,0.408,0.835,1.496,3.49,3.68,4.175,3.49
134,0.614,1.017,1.914,3.833,7.61,8.6375,9.54
135,0.421,0.936,2.279,5.18,9.87,10.5375,14.08
136,0.505,0.921,1.824,3.64,4.03,6.75,6.43
137,0.523,1.026,2.265,4.34,4.73,6.2375,4.13
138,0.424,1.244,2.06,4.63,4.53,4.875,1.52
139,0.466,0.985,2.206,3.54,6.48,8.9,10.1
140,0.423,0.985,2.782,4.432,7.61,8.8625,8.74
141,0.369,0.793,1.752,3.84,5.67,4.12875,5.9
142,0.438,1.094,2.064,3.46,2.6,2.5125,NA
143,0.405,0.935,2.905,5.18,6.1,5.0375,2.12
144,0.37,0.761,1.558,3.19,5.25,6.825,8.2
145,0.302,0.587,1.097,2.35,4.42,7.2125,8.17
146,0.396,0.716,1.746,2.48,5.51,2.8625,NA
147,0.446,1.03,1.924,2.61,5.22,9.2,11.61
148,0.416,0.809,2.006,3.8,5.5,7.2125,8.3
149,0.506,1.325,2.896,5.14,10.86,11.6125,12.19
150,0.531,1.072,1.809,3.5,5.54,6.65,7.82
151,0.416,0.824,1.925,3.17,5.82,8.175,6.85
152,0.558,1.471,2.779,4.21,6.95,10.6875,11.21
153,0.496,1.171,2.111,3.38,6.86,9.9875,11.21
154,0.414,1.209,2.641,5.49,7.6,9.2625,14.34
155,0.326,0.618,1.416,2.64,3.51,3.3875,1.51
156,0.582,1.625,3.188,4.49,9.58,9.125,13.94
157,0.443,0.974,1.815,3.8,6.09,7.25,8.36
158,0.492,1.163,2.864,5,5.17,3.925,0.84
159,0.497,1.128,2.179,4.4,6.95,7.3375,5.6
160,0.468,1.16,2.053,3.75,5.13,5.5375,4.81
161,0.312,0.624,1.624,2.59,3.21,1.1,NA
162,0.312,0.701,1.671,2.91,3.77,2.525,NA
163,0.415,0.983,2.043,3.77,5.49,9.275,9.25
164,0.531,1.1,2.3,3.33,7.76,8.35,8.8
165,0.471,1.079,2.225,3.88,5.86,6.175,4.08
166,0.375,0.724,1.574,3.09,5.7,7.8875,7.86
167,0.502,1.088,2.145,4.48,7.15,10.1125,12.13
168,0.556,0.968,2.488,4.99,5.51,8.0125,6.65
169,0.358,0.971,1.424,3.78,7.56,7.6375,7.25
170,0.466,0.862,2.017,3.54,4.99,9.5125,9.84
171,0.51,1.014,2.169,4.18,6.31,8.6,6.55
172,0.44,1.105,2.452,5.28,7.17,6.9625,4.64
173,0.412,0.933,2.186,4.3,6.78,10.3375,9.31
174,0.399,0.885,1.552,3.49,4.04,3.95,NA
175,0.584,1.364,2.855,5.05,7.26,9.1375,8.65
176,0.438,0.843,1.84,3.7,7.87,6.5625,5.99
177,0.66,1.224,2.141,3.69,5.59,8.65,5.82
178,0.522,1.179,2.185,4.38,7.11,8.625,8.91
179,0.613,1.368,2.863,5,4.86,4.85,1.63
180,0.495,0.968,1.948,3.68,5.63,4.8625,1.81
181,0.525,1.023,2.147,4.34,4.53,4.225,1.36
182,0.326,0.689,1.878,3.34,5.55,5.6875,4.35
183,0.524,1.16,2.357,4.49,6.86,7.7,7.26
184,0.493,1.012,2.813,4.1,5.97,10.15,8.63
